X;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1E: 3 N: 4;_SDV2 PI: ELEM-1E: 3 N: 1;_SDV2 PI: ELEM-1E: 3 N: 2;_SDV2 PI: ELEM-1E: 3 N: 3;_SDV2 PI: ELEM-1E: 3 N: 4;_SDV6 PI: ELEM-1E: 3 N: 1;_SDV6 PI: ELEM-1E: 3 N: 2;_SDV6 PI: ELEM-1E: 3 N: 3;_SDV6 PI: ELEM-1E: 3 N: 4;_SDV7 PI: ELEM-1E: 3 N: 1;_SDV7 PI: ELEM-1E: 3 N: 2;_SDV7 PI: ELEM-1E: 3 N: 3;_SDV7 PI: ELEM-1E: 3 N: 4;_SDV15 PI: ELEM-1E: 3 N: 1;_SDV15 PI: ELEM-1E: 3 N: 2;_SDV15 PI: ELEM-1E: 3 N: 3;_SDV15 PI: ELEM-1E: 3 N: 4;_SDV16 PI: ELEM-1E: 3 N: 1;_SDV16 PI: ELEM-1E: 3 N: 2;_SDV16 PI: ELEM-1E: 3 N: 3;_SDV16 PI: ELEM-1E: 3 N: 4;_RF:RF2 PI: ELEM-1 N: 1;_RF:RF2 PI: ELEM-1 N: 2;_RF:RF2 PI: ELEM-1 N: 3;_RF:RF2 PI: ELEM-1 N: 4;_U:U2 PI: ELEM-1N: 1;_U:U2 PI: ELEM-1N: 2;_U:U2 PI: ELEM-1N: 3;_U:U2 PI: ELEM-1N: 4
7.26E-01;0;0;0;0;9.31E-10;1.86E-09;5.43E-02;5.43E-02;2.15E-02;2.15E-02;2.15E-02;2.15E-02;5.02E-02;5.02E-02;5.02E-02;5.02E-02;9.43E-01;9.43E-01;9.43E-01;9.43E-01;4.15E-01;4.15E-01;4.15E-01;4.15E-01;-2.51E-02;-2.51E-02;2.51E-02;2.51E-02;2.51E-38;2.51E-38;5.43E-02;5.43E-02
7.27E-01;0;0;0;0;2.33E-09;1.86E-09;5.45E-02;5.45E-02;2.13E-02;2.13E-02;2.13E-02;2.13E-02;4.98E-02;4.98E-02;4.98E-02;4.98E-02;9.43E-01;9.43E-01;9.43E-01;9.43E-01;4.17E-01;4.17E-01;4.17E-01;4.17E-01;-2.49E-02;-2.49E-02;2.49E-02;2.49E-02;2.49E-38;2.49E-38;5.45E-02;5.45E-02
7.28E-01;0;0;0;0;-4.66E-10;0;5.47E-02;5.47E-02;2.12E-02;2.12E-02;2.12E-02;2.12E-02;4.94E-02;4.94E-02;4.94E-02;4.94E-02;9.44E-01;9.44E-01;9.44E-01;9.44E-01;4.20E-01;4.20E-01;4.20E-01;4.20E-01;-2.47E-02;-2.47E-02;2.47E-02;2.47E-02;2.47E-38;2.47E-38;5.47E-02;5.47E-02
7.29E-01;0;0;0;0;4.66E-10;0;5.48E-02;5.48E-02;2.10E-02;2.10E-02;2.10E-02;2.10E-02;4.90E-02;4.90E-02;4.90E-02;4.90E-02;9.44E-01;9.44E-01;9.44E-01;9.44E-01;4.22E-01;4.22E-01;4.22E-01;4.22E-01;-2.45E-02;-2.45E-02;2.45E-02;2.45E-02;2.45E-38;2.45E-38;5.48E-02;5.48E-02
7.30E-01;0;0;0;0;1.40E-09;1.86E-09;5.50E-02;5.50E-02;2.08E-02;2.08E-02;2.08E-02;2.08E-02;4.85E-02;4.85E-02;4.85E-02;4.85E-02;9.44E-01;9.44E-01;9.44E-01;9.44E-01;4.25E-01;4.25E-01;4.25E-01;4.25E-01;-2.43E-02;-2.43E-02;2.43E-02;2.43E-02;2.43E-38;2.43E-38;5.50E-02;5.50E-02
7.31E-01;0;0;0;0;4.66E-10;0;5.52E-02;5.52E-02;2.06E-02;2.06E-02;2.06E-02;2.06E-02;4.81E-02;4.81E-02;4.81E-02;4.81E-02;9.45E-01;9.45E-01;9.45E-01;9.45E-01;4.28E-01;4.28E-01;4.28E-01;4.28E-01;-2.41E-02;-2.41E-02;2.41E-02;2.41E-02;2.41E-38;2.41E-38;5.52E-02;5.52E-02
7.32E-01;0;0;0;0;-4.66E-10;0;5.53E-02;5.53E-02;2.05E-02;2.05E-02;2.05E-02;2.05E-02;4.77E-02;4.77E-02;4.77E-02;4.77E-02;9.45E-01;9.45E-01;9.45E-01;9.45E-01;4.30E-01;4.30E-01;4.30E-01;4.30E-01;-2.39E-02;-2.39E-02;2.39E-02;2.39E-02;2.39E-38;2.39E-38;5.53E-02;5.53E-02
7.33E-01;0;0;0;0;9.31E-10;1.86E-09;5.55E-02;5.55E-02;2.03E-02;2.03E-02;2.03E-02;2.03E-02;4.73E-02;4.73E-02;4.73E-02;4.73E-02;9.45E-01;9.45E-01;9.45E-01;9.45E-01;4.33E-01;4.33E-01;4.33E-01;4.33E-01;-2.37E-02;-2.37E-02;2.37E-02;2.37E-02;2.37E-38;2.37E-38;5.55E-02;5.55E-02
7.34E-01;0;0;0;0;-4.66E-10;0;5.57E-02;5.57E-02;2.01E-02;2.01E-02;2.01E-02;2.01E-02;4.69E-02;4.69E-02;4.69E-02;4.69E-02;9.46E-01;9.46E-01;9.46E-01;9.46E-01;4.35E-01;4.35E-01;4.35E-01;4.35E-01;-2.35E-02;-2.35E-02;2.35E-02;2.35E-02;2.35E-38;2.35E-38;5.57E-02;5.57E-02
7.35E-01;0;0;0;0;4.66E-10;0;5.58E-02;5.58E-02;1.99E-02;1.99E-02;1.99E-02;1.99E-02;4.65E-02;4.65E-02;4.65E-02;4.65E-02;9.46E-01;9.46E-01;9.46E-01;9.46E-01;4.38E-01;4.38E-01;4.38E-01;4.38E-01;-2.33E-02;-2.33E-02;2.33E-02;2.33E-02;2.33E-38;2.33E-38;5.58E-02;5.58E-02
7.36E-01;0;0;0;0;0;0;5.60E-02;5.60E-02;1.98E-02;1.98E-02;1.98E-02;1.98E-02;4.62E-02;4.62E-02;4.62E-02;4.62E-02;9.46E-01;9.46E-01;9.46E-01;9.46E-01;4.41E-01;4.41E-01;4.41E-01;4.41E-01;-2.31E-02;-2.31E-02;2.31E-02;2.31E-02;2.31E-38;2.31E-38;5.60E-02;5.60E-02
7.37E-01;0;0;0;0;4.66E-10;0;5.62E-02;5.62E-02;1.96E-02;1.96E-02;1.96E-02;1.96E-02;4.58E-02;4.58E-02;4.58E-02;4.58E-02;9.47E-01;9.47E-01;9.47E-01;9.47E-01;4.43E-01;4.43E-01;4.43E-01;4.43E-01;-2.29E-02;-2.29E-02;2.29E-02;2.29E-02;2.29E-38;2.29E-38;5.62E-02;5.62E-02
7.38E-01;0;0;0;0;1.40E-09;1.86E-09;5.63E-02;5.63E-02;1.95E-02;1.95E-02;1.95E-02;1.95E-02;4.54E-02;4.54E-02;4.54E-02;4.54E-02;9.47E-01;9.47E-01;9.47E-01;9.47E-01;4.46E-01;4.46E-01;4.46E-01;4.46E-01;-2.27E-02;-2.27E-02;2.27E-02;2.27E-02;2.27E-38;2.27E-38;5.63E-02;5.63E-02
7.39E-01;0;0;0;0;2.79E-09;1.86E-09;5.65E-02;5.65E-02;1.93E-02;1.93E-02;1.93E-02;1.93E-02;4.50E-02;4.50E-02;4.50E-02;4.50E-02;9.47E-01;9.47E-01;9.47E-01;9.47E-01;4.49E-01;4.49E-01;4.49E-01;4.49E-01;-2.25E-02;-2.25E-02;2.25E-02;2.25E-02;2.25E-38;2.25E-38;5.65E-02;5.65E-02
7.40E-01;0;0;0;0;0;0;5.67E-02;5.67E-02;1.91E-02;1.91E-02;1.91E-02;1.91E-02;4.46E-02;4.46E-02;4.46E-02;4.46E-02;9.48E-01;9.48E-01;9.48E-01;9.48E-01;4.51E-01;4.51E-01;4.51E-01;4.51E-01;-2.23E-02;-2.23E-02;2.23E-02;2.23E-02;2.23E-38;2.23E-38;5.67E-02;5.67E-02
7.41E-01;0;0;0;0;2.33E-09;1.86E-09;5.68E-02;5.68E-02;1.90E-02;1.90E-02;1.90E-02;1.90E-02;4.43E-02;4.43E-02;4.43E-02;4.43E-02;9.48E-01;9.48E-01;9.48E-01;9.48E-01;4.54E-01;4.54E-01;4.54E-01;4.54E-01;-2.21E-02;-2.21E-02;2.21E-02;2.21E-02;2.21E-38;2.21E-38;5.68E-02;5.68E-02
7.42E-01;0;0;0;0;1.86E-09;1.86E-09;5.70E-02;5.70E-02;1.88E-02;1.88E-02;1.88E-02;1.88E-02;4.39E-02;4.39E-02;4.39E-02;4.39E-02;9.48E-01;9.48E-01;9.48E-01;9.48E-01;4.57E-01;4.57E-01;4.57E-01;4.57E-01;-2.20E-02;-2.20E-02;2.20E-02;2.20E-02;2.20E-38;2.20E-38;5.70E-02;5.70E-02
7.43E-01;0;0;0;0;9.31E-10;0;5.72E-02;5.72E-02;1.87E-02;1.87E-02;1.87E-02;1.87E-02;4.36E-02;4.36E-02;4.36E-02;4.36E-02;9.48E-01;9.48E-01;9.48E-01;9.48E-01;4.59E-01;4.59E-01;4.59E-01;4.59E-01;-2.18E-02;-2.18E-02;2.18E-02;2.18E-02;2.18E-38;2.18E-38;5.72E-02;5.72E-02
7.44E-01;0;0;0;0;0;0;5.73E-02;5.73E-02;1.85E-02;1.85E-02;1.85E-02;1.85E-02;4.32E-02;4.32E-02;4.32E-02;4.32E-02;9.49E-01;9.49E-01;9.49E-01;9.49E-01;4.62E-01;4.62E-01;4.62E-01;4.62E-01;-2.16E-02;-2.16E-02;2.16E-02;2.16E-02;2.16E-38;2.16E-38;5.73E-02;5.73E-02
7.45E-01;0;0;0;0;9.31E-10;1.86E-09;5.75E-02;5.75E-02;1.84E-02;1.84E-02;1.84E-02;1.84E-02;4.29E-02;4.29E-02;4.29E-02;4.29E-02;9.49E-01;9.49E-01;9.49E-01;9.49E-01;4.65E-01;4.65E-01;4.65E-01;4.65E-01;-2.14E-02;-2.14E-02;2.14E-02;2.14E-02;2.14E-38;2.14E-38;5.75E-02;5.75E-02
7.46E-01;0;0;0;0;0;0;5.77E-02;5.77E-02;1.82E-02;1.82E-02;1.82E-02;1.82E-02;4.25E-02;4.25E-02;4.25E-02;4.25E-02;9.49E-01;9.49E-01;9.49E-01;9.49E-01;4.67E-01;4.67E-01;4.67E-01;4.67E-01;-2.13E-02;-2.13E-02;2.13E-02;2.13E-02;2.13E-38;2.13E-38;5.77E-02;5.77E-02
7.47E-01;0;0;0;0;-9.31E-10;-1.86E-09;5.78E-02;5.78E-02;1.81E-02;1.81E-02;1.81E-02;1.81E-02;4.22E-02;4.22E-02;4.22E-02;4.22E-02;9.49E-01;9.49E-01;9.49E-01;9.49E-01;4.70E-01;4.70E-01;4.70E-01;4.70E-01;-2.11E-02;-2.11E-02;2.11E-02;2.11E-02;2.11E-38;2.11E-38;5.78E-02;5.78E-02
7.48E-01;0;0;0;0;1.86E-09;1.86E-09;5.80E-02;5.80E-02;1.79E-02;1.79E-02;1.79E-02;1.79E-02;4.18E-02;4.18E-02;4.18E-02;4.18E-02;9.50E-01;9.50E-01;9.50E-01;9.50E-01;4.73E-01;4.73E-01;4.73E-01;4.73E-01;-2.09E-02;-2.09E-02;2.09E-02;2.09E-02;2.09E-38;2.09E-38;5.80E-02;5.80E-02
7.49E-01;0;0;0;0;-9.31E-10;0;5.82E-02;5.82E-02;1.78E-02;1.78E-02;1.78E-02;1.78E-02;4.15E-02;4.15E-02;4.15E-02;4.15E-02;9.50E-01;9.50E-01;9.50E-01;9.50E-01;4.75E-01;4.75E-01;4.75E-01;4.75E-01;-2.07E-02;-2.07E-02;2.07E-02;2.07E-02;2.07E-38;2.07E-38;5.82E-02;5.82E-02
7.50E-01;0;0;0;0;0;0;5.83E-02;5.83E-02;1.76E-02;1.76E-02;1.76E-02;1.76E-02;4.11E-02;4.11E-02;4.11E-02;4.11E-02;9.50E-01;9.50E-01;9.50E-01;9.50E-01;4.78E-01;4.78E-01;4.78E-01;4.78E-01;-2.06E-02;-2.06E-02;2.06E-02;2.06E-02;2.06E-38;2.06E-38;5.83E-02;5.83E-02
7.51E-01;0;0;0;0;1.40E-09;1.86E-09;5.85E-02;5.85E-02;1.75E-02;1.75E-02;1.75E-02;1.75E-02;4.08E-02;4.08E-02;4.08E-02;4.08E-02;9.51E-01;9.51E-01;9.51E-01;9.51E-01;4.81E-01;4.81E-01;4.81E-01;4.81E-01;-2.04E-02;-2.04E-02;2.04E-02;2.04E-02;2.04E-38;2.04E-38;5.85E-02;5.85E-02
7.52E-01;0;0;0;0;0;0;5.87E-02;5.87E-02;1.74E-02;1.74E-02;1.74E-02;1.74E-02;4.05E-02;4.05E-02;4.05E-02;4.05E-02;9.51E-01;9.51E-01;9.51E-01;9.51E-01;4.84E-01;4.84E-01;4.84E-01;4.84E-01;-2.02E-02;-2.02E-02;2.02E-02;2.02E-02;2.02E-38;2.02E-38;5.87E-02;5.87E-02
7.53E-01;0;0;0;0;9.31E-10;1.86E-09;5.88E-02;5.88E-02;1.72E-02;1.72E-02;1.72E-02;1.72E-02;4.02E-02;4.02E-02;4.02E-02;4.02E-02;9.51E-01;9.51E-01;9.51E-01;9.51E-01;4.86E-01;4.86E-01;4.86E-01;4.86E-01;-2.01E-02;-2.01E-02;2.01E-02;2.01E-02;2.01E-38;2.01E-38;5.88E-02;5.88E-02
7.54E-01;0;0;0;0;4.66E-10;0;5.90E-02;5.90E-02;1.71E-02;1.71E-02;1.71E-02;1.71E-02;3.98E-02;3.98E-02;3.98E-02;3.98E-02;9.51E-01;9.51E-01;9.51E-01;9.51E-01;4.89E-01;4.89E-01;4.89E-01;4.89E-01;-1.99E-02;-1.99E-02;1.99E-02;1.99E-02;1.99E-38;1.99E-38;5.90E-02;5.90E-02
7.55E-01;0;0;0;0;-4.66E-10;0;5.92E-02;5.92E-02;1.69E-02;1.69E-02;1.69E-02;1.69E-02;3.95E-02;3.95E-02;3.95E-02;3.95E-02;9.52E-01;9.52E-01;9.52E-01;9.52E-01;4.92E-01;4.92E-01;4.92E-01;4.92E-01;-1.98E-02;-1.98E-02;1.98E-02;1.98E-02;1.98E-38;1.98E-38;5.92E-02;5.92E-02
7.56E-01;0;0;0;0;1.86E-09;1.86E-09;5.93E-02;5.93E-02;1.68E-02;1.68E-02;1.68E-02;1.68E-02;3.92E-02;3.92E-02;3.92E-02;3.92E-02;9.52E-01;9.52E-01;9.52E-01;9.52E-01;4.95E-01;4.95E-01;4.95E-01;4.95E-01;-1.96E-02;-1.96E-02;1.96E-02;1.96E-02;1.96E-38;1.96E-38;5.93E-02;5.93E-02
7.57E-01;0;0;0;0;1.40E-09;1.86E-09;5.95E-02;5.95E-02;1.67E-02;1.67E-02;1.67E-02;1.67E-02;3.89E-02;3.89E-02;3.89E-02;3.89E-02;9.52E-01;9.52E-01;9.52E-01;9.52E-01;4.98E-01;4.98E-01;4.98E-01;4.98E-01;-1.95E-02;-1.95E-02;1.95E-02;1.95E-02;1.95E-38;1.95E-38;5.95E-02;5.95E-02
7.58E-01;0;0;0;0;4.66E-10;0;5.97E-02;5.97E-02;1.65E-02;1.65E-02;1.65E-02;1.65E-02;3.86E-02;3.86E-02;3.86E-02;3.86E-02;9.52E-01;9.52E-01;9.52E-01;9.52E-01;5.00E-01;5.00E-01;5.00E-01;5.00E-01;-1.93E-02;-1.93E-02;1.93E-02;1.93E-02;1.93E-38;1.93E-38;5.97E-02;5.97E-02
7.59E-01;0;0;0;0;9.31E-10;1.86E-09;5.98E-02;5.98E-02;1.64E-02;1.64E-02;1.64E-02;1.64E-02;3.83E-02;3.83E-02;3.83E-02;3.83E-02;9.53E-01;9.53E-01;9.53E-01;9.53E-01;5.03E-01;5.03E-01;5.03E-01;5.03E-01;-1.91E-02;-1.91E-02;1.91E-02;1.91E-02;1.91E-38;1.91E-38;5.98E-02;5.98E-02
7.60E-01;0;0;0;0;2.33E-09;1.86E-09;6.00E-02;6.00E-02;1.63E-02;1.63E-02;1.63E-02;1.63E-02;3.80E-02;3.80E-02;3.80E-02;3.80E-02;9.53E-01;9.53E-01;9.53E-01;9.53E-01;5.06E-01;5.06E-01;5.06E-01;5.06E-01;-1.90E-02;-1.90E-02;1.90E-02;1.90E-02;1.90E-38;1.90E-38;6.00E-02;6.00E-02
7.61E-01;0;0;0;0;-4.66E-10;0;6.02E-02;6.02E-02;1.62E-02;1.62E-02;1.62E-02;1.62E-02;3.77E-02;3.77E-02;3.77E-02;3.77E-02;9.53E-01;9.53E-01;9.53E-01;9.53E-01;5.09E-01;5.09E-01;5.09E-01;5.09E-01;-1.89E-02;-1.89E-02;1.89E-02;1.89E-02;1.89E-38;1.89E-38;6.02E-02;6.02E-02
7.62E-01;0;0;0;0;4.66E-10;0;6.03E-02;6.03E-02;1.60E-02;1.60E-02;1.60E-02;1.60E-02;3.74E-02;3.74E-02;3.74E-02;3.74E-02;9.53E-01;9.53E-01;9.53E-01;9.53E-01;5.12E-01;5.12E-01;5.12E-01;5.12E-01;-1.87E-02;-1.87E-02;1.87E-02;1.87E-02;1.87E-38;1.87E-38;6.03E-02;6.03E-02
7.63E-01;0;0;0;0;1.40E-09;1.86E-09;6.05E-02;6.05E-02;1.59E-02;1.59E-02;1.59E-02;1.59E-02;3.71E-02;3.71E-02;3.71E-02;3.71E-02;9.54E-01;9.54E-01;9.54E-01;9.54E-01;5.15E-01;5.15E-01;5.15E-01;5.15E-01;-1.86E-02;-1.86E-02;1.86E-02;1.86E-02;1.86E-38;1.86E-38;6.05E-02;6.05E-02
7.64E-01;0;0;0;0;4.66E-10;0;6.07E-02;6.07E-02;1.58E-02;1.58E-02;1.58E-02;1.58E-02;3.68E-02;3.68E-02;3.68E-02;3.68E-02;9.54E-01;9.54E-01;9.54E-01;9.54E-01;5.17E-01;5.17E-01;5.17E-01;5.17E-01;-1.84E-02;-1.84E-02;1.84E-02;1.84E-02;1.84E-38;1.84E-38;6.07E-02;6.07E-02
7.65E-01;0;0;0;0;-4.66E-10;0;6.08E-02;6.08E-02;1.57E-02;1.57E-02;1.57E-02;1.57E-02;3.65E-02;3.65E-02;3.65E-02;3.65E-02;9.54E-01;9.54E-01;9.54E-01;9.54E-01;5.20E-01;5.20E-01;5.20E-01;5.20E-01;-1.83E-02;-1.83E-02;1.83E-02;1.83E-02;1.83E-38;1.83E-38;6.08E-02;6.08E-02
7.66E-01;0;0;0;0;9.31E-10;1.86E-09;6.10E-02;6.10E-02;1.55E-02;1.55E-02;1.55E-02;1.55E-02;3.63E-02;3.63E-02;3.63E-02;3.63E-02;9.54E-01;9.54E-01;9.54E-01;9.54E-01;5.23E-01;5.23E-01;5.23E-01;5.23E-01;-1.81E-02;-1.81E-02;1.81E-02;1.81E-02;1.81E-38;1.81E-38;6.10E-02;6.10E-02
7.67E-01;0;0;0;0;-4.66E-10;0;6.12E-02;6.12E-02;1.54E-02;1.54E-02;1.54E-02;1.54E-02;3.60E-02;3.60E-02;3.60E-02;3.60E-02;9.55E-01;9.55E-01;9.55E-01;9.55E-01;5.26E-01;5.26E-01;5.26E-01;5.26E-01;-1.80E-02;-1.80E-02;1.80E-02;1.80E-02;1.80E-38;1.80E-38;6.12E-02;6.12E-02
7.68E-01;0;0;0;0;4.66E-10;0;6.13E-02;6.13E-02;1.53E-02;1.53E-02;1.53E-02;1.53E-02;3.57E-02;3.57E-02;3.57E-02;3.57E-02;9.55E-01;9.55E-01;9.55E-01;9.55E-01;5.29E-01;5.29E-01;5.29E-01;5.29E-01;-1.79E-02;-1.79E-02;1.79E-02;1.79E-02;1.79E-38;1.79E-38;6.13E-02;6.13E-02
7.69E-01;0;0;0;0;0;0;6.15E-02;6.15E-02;1.52E-02;1.52E-02;1.52E-02;1.52E-02;3.54E-02;3.54E-02;3.54E-02;3.54E-02;9.55E-01;9.55E-01;9.55E-01;9.55E-01;5.32E-01;5.32E-01;5.32E-01;5.32E-01;-1.77E-02;-1.77E-02;1.77E-02;1.77E-02;1.77E-38;1.77E-38;6.15E-02;6.15E-02
7.70E-01;0;0;0;0;4.66E-10;0;6.17E-02;6.17E-02;1.51E-02;1.51E-02;1.51E-02;1.51E-02;3.52E-02;3.52E-02;3.52E-02;3.52E-02;9.55E-01;9.55E-01;9.55E-01;9.55E-01;5.35E-01;5.35E-01;5.35E-01;5.35E-01;-1.76E-02;-1.76E-02;1.76E-02;1.76E-02;1.76E-38;1.76E-38;6.17E-02;6.17E-02
7.71E-01;0;0;0;0;-4.66E-10;0;6.18E-02;6.18E-02;1.50E-02;1.50E-02;1.50E-02;1.50E-02;3.49E-02;3.49E-02;3.49E-02;3.49E-02;9.56E-01;9.56E-01;9.56E-01;9.56E-01;5.38E-01;5.38E-01;5.38E-01;5.38E-01;-1.74E-02;-1.74E-02;1.74E-02;1.74E-02;1.74E-38;1.74E-38;6.18E-02;6.18E-02
7.72E-01;0;0;0;0;9.31E-10;1.86E-09;6.20E-02;6.20E-02;1.48E-02;1.48E-02;1.48E-02;1.48E-02;3.46E-02;3.46E-02;3.46E-02;3.46E-02;9.56E-01;9.56E-01;9.56E-01;9.56E-01;5.40E-01;5.40E-01;5.40E-01;5.40E-01;-1.73E-02;-1.73E-02;1.73E-02;1.73E-02;1.73E-38;1.73E-38;6.20E-02;6.20E-02
7.73E-01;0;0;0;0;0;0;6.22E-02;6.22E-02;1.47E-02;1.47E-02;1.47E-02;1.47E-02;3.44E-02;3.44E-02;3.44E-02;3.44E-02;9.56E-01;9.56E-01;9.56E-01;9.56E-01;5.43E-01;5.43E-01;5.43E-01;5.43E-01;-1.72E-02;-1.72E-02;1.72E-02;1.72E-02;1.72E-38;1.72E-38;6.22E-02;6.22E-02
7.74E-01;0;0;0;0;4.66E-10;0;6.23E-02;6.23E-02;1.46E-02;1.46E-02;1.46E-02;1.46E-02;3.41E-02;3.41E-02;3.41E-02;3.41E-02;9.56E-01;9.56E-01;9.56E-01;9.56E-01;5.46E-01;5.46E-01;5.46E-01;5.46E-01;-1.70E-02;-1.70E-02;1.70E-02;1.70E-02;1.70E-38;1.70E-38;6.23E-02;6.23E-02
7.75E-01;0;0;0;0;1.86E-09;1.86E-09;6.25E-02;6.25E-02;1.45E-02;1.45E-02;1.45E-02;1.45E-02;3.38E-02;3.38E-02;3.38E-02;3.38E-02;9.56E-01;9.56E-01;9.56E-01;9.56E-01;5.49E-01;5.49E-01;5.49E-01;5.49E-01;-1.69E-02;-1.69E-02;1.69E-02;1.69E-02;1.69E-38;1.69E-38;6.25E-02;6.25E-02
7.76E-01;0;0;0;0;-9.31E-10;0;6.27E-02;6.27E-02;1.44E-02;1.44E-02;1.44E-02;1.44E-02;3.36E-02;3.36E-02;3.36E-02;3.36E-02;9.57E-01;9.57E-01;9.57E-01;9.57E-01;5.52E-01;5.52E-01;5.52E-01;5.52E-01;-1.68E-02;-1.68E-02;1.68E-02;1.68E-02;1.68E-38;1.68E-38;6.27E-02;6.27E-02
7.77E-01;0;0;0;0;0;0;6.28E-02;6.28E-02;1.43E-02;1.43E-02;1.43E-02;1.43E-02;3.33E-02;3.33E-02;3.33E-02;3.33E-02;9.57E-01;9.57E-01;9.57E-01;9.57E-01;5.55E-01;5.55E-01;5.55E-01;5.55E-01;-1.67E-02;-1.67E-02;1.67E-02;1.67E-02;1.67E-38;1.67E-38;6.28E-02;6.28E-02
7.78E-01;0;0;0;0;2.79E-09;1.86E-09;6.30E-02;6.30E-02;1.42E-02;1.42E-02;1.42E-02;1.42E-02;3.31E-02;3.31E-02;3.31E-02;3.31E-02;9.57E-01;9.57E-01;9.57E-01;9.57E-01;5.58E-01;5.58E-01;5.58E-01;5.58E-01;-1.65E-02;-1.65E-02;1.65E-02;1.65E-02;1.65E-38;1.65E-38;6.30E-02;6.30E-02
7.79E-01;0;0;0;0;0;0;6.32E-02;6.32E-02;1.41E-02;1.41E-02;1.41E-02;1.41E-02;3.28E-02;3.28E-02;3.28E-02;3.28E-02;9.57E-01;9.57E-01;9.57E-01;9.57E-01;5.61E-01;5.61E-01;5.61E-01;5.61E-01;-1.64E-02;-1.64E-02;1.64E-02;1.64E-02;1.64E-38;1.64E-38;6.32E-02;6.32E-02
7.80E-01;0;0;0;0;9.31E-10;1.86E-09;6.33E-02;6.33E-02;1.40E-02;1.40E-02;1.40E-02;1.40E-02;3.26E-02;3.26E-02;3.26E-02;3.26E-02;9.58E-01;9.58E-01;9.58E-01;9.58E-01;5.64E-01;5.64E-01;5.64E-01;5.64E-01;-1.63E-02;-1.63E-02;1.63E-02;1.63E-02;1.63E-38;1.63E-38;6.33E-02;6.33E-02
7.81E-01;0;0;0;0;1.86E-09;1.86E-09;6.35E-02;6.35E-02;1.39E-02;1.39E-02;1.39E-02;1.39E-02;3.23E-02;3.23E-02;3.23E-02;3.23E-02;9.58E-01;9.58E-01;9.58E-01;9.58E-01;5.67E-01;5.67E-01;5.67E-01;5.67E-01;-1.62E-02;-1.62E-02;1.62E-02;1.62E-02;1.62E-38;1.62E-38;6.35E-02;6.35E-02
7.82E-01;0;0;0;0;9.31E-10;0;6.37E-02;6.37E-02;1.38E-02;1.38E-02;1.38E-02;1.38E-02;3.21E-02;3.21E-02;3.21E-02;3.21E-02;9.58E-01;9.58E-01;9.58E-01;9.58E-01;5.70E-01;5.70E-01;5.70E-01;5.70E-01;-1.61E-02;-1.61E-02;1.61E-02;1.61E-02;1.61E-38;1.61E-38;6.37E-02;6.37E-02
7.83E-01;0;0;0;0;0;0;6.38E-02;6.38E-02;1.37E-02;1.37E-02;1.37E-02;1.37E-02;3.19E-02;3.19E-02;3.19E-02;3.19E-02;9.58E-01;9.58E-01;9.58E-01;9.58E-01;5.73E-01;5.73E-01;5.73E-01;5.73E-01;-1.59E-02;-1.59E-02;1.59E-02;1.59E-02;1.59E-38;1.59E-38;6.38E-02;6.38E-02
7.84E-01;0;0;0;0;-4.66E-10;0;6.40E-02;6.40E-02;1.36E-02;1.36E-02;1.36E-02;1.36E-02;3.16E-02;3.16E-02;3.16E-02;3.16E-02;9.58E-01;9.58E-01;9.58E-01;9.58E-01;5.76E-01;5.76E-01;5.76E-01;5.76E-01;-1.58E-02;-1.58E-02;1.58E-02;1.58E-02;1.58E-38;1.58E-38;6.40E-02;6.40E-02
7.85E-01;0;0;0;0;0;0;6.42E-02;6.42E-02;1.35E-02;1.35E-02;1.35E-02;1.35E-02;3.14E-02;3.14E-02;3.14E-02;3.14E-02;9.59E-01;9.59E-01;9.59E-01;9.59E-01;5.79E-01;5.79E-01;5.79E-01;5.79E-01;-1.57E-02;-1.57E-02;1.57E-02;1.57E-02;1.57E-38;1.57E-38;6.42E-02;6.42E-02
7.86E-01;0;0;0;0;-9.31E-10;-1.86E-09;6.43E-02;6.43E-02;1.34E-02;1.34E-02;1.34E-02;1.34E-02;3.12E-02;3.12E-02;3.12E-02;3.12E-02;9.59E-01;9.59E-01;9.59E-01;9.59E-01;5.82E-01;5.82E-01;5.82E-01;5.82E-01;-1.56E-02;-1.56E-02;1.56E-02;1.56E-02;1.56E-38;1.56E-38;6.43E-02;6.43E-02
7.87E-01;0;0;0;0;4.66E-10;0;6.45E-02;6.45E-02;1.33E-02;1.33E-02;1.33E-02;1.33E-02;3.09E-02;3.09E-02;3.09E-02;3.09E-02;9.59E-01;9.59E-01;9.59E-01;9.59E-01;5.85E-01;5.85E-01;5.85E-01;5.85E-01;-1.55E-02;-1.55E-02;1.55E-02;1.55E-02;1.55E-38;1.55E-38;6.45E-02;6.45E-02
7.88E-01;0;0;0;0;1.40E-09;1.86E-09;6.47E-02;6.47E-02;1.32E-02;1.32E-02;1.32E-02;1.32E-02;3.07E-02;3.07E-02;3.07E-02;3.07E-02;9.59E-01;9.59E-01;9.59E-01;9.59E-01;5.88E-01;5.88E-01;5.88E-01;5.88E-01;-1.54E-02;-1.54E-02;1.54E-02;1.54E-02;1.54E-38;1.54E-38;6.47E-02;6.47E-02
