X;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1E: 3 N: 4;_SDV2 PI: ELEM-1E: 3 N: 1;_SDV2 PI: ELEM-1E: 3 N: 2;_SDV2 PI: ELEM-1E: 3 N: 3;_SDV2 PI: ELEM-1E: 3 N: 4;_SDV6 PI: ELEM-1E: 3 N: 1;_SDV6 PI: ELEM-1E: 3 N: 2;_SDV6 PI: ELEM-1E: 3 N: 3;_SDV6 PI: ELEM-1E: 3 N: 4;_SDV7 PI: ELEM-1E: 3 N: 1;_SDV7 PI: ELEM-1E: 3 N: 2;_SDV7 PI: ELEM-1E: 3 N: 3;_SDV7 PI: ELEM-1E: 3 N: 4;_SDV15 PI: ELEM-1E: 3 N: 1;_SDV15 PI: ELEM-1E: 3 N: 2;_SDV15 PI: ELEM-1E: 3 N: 3;_SDV15 PI: ELEM-1E: 3 N: 4;_SDV16 PI: ELEM-1E: 3 N: 1;_SDV16 PI: ELEM-1E: 3 N: 2;_SDV16 PI: ELEM-1E: 3 N: 3;_SDV16 PI: ELEM-1E: 3 N: 4;_RF:RF2 PI: ELEM-1 N: 1;_RF:RF2 PI: ELEM-1 N: 2;_RF:RF2 PI: ELEM-1 N: 3;_RF:RF2 PI: ELEM-1 N: 4;_U:U2 PI: ELEM-1N: 1;_U:U2 PI: ELEM-1N: 2;_U:U2 PI: ELEM-1N: 3;_U:U2 PI: ELEM-1N: 4
3.10E-02;1.71E-37;-1.71E-37;1.71E-37;-1.71E-37;0;0;3.10E-03;3.10E-03;3.42E-01;3.42E-01;3.42E-01;3.42E-01;7.99E-01;7.99E-01;7.99E-01;7.99E-01;4.84E-02;4.84E-02;4.84E-02;4.84E-02;1.27E-03;1.27E-03;1.27E-03;1.27E-03;-3.99E-01;-3.99E-01;3.99E-01;3.99E-01;3.99E-37;3.99E-37;3.10E-03;3.10E-03
3.20E-02;1.76E-37;-1.76E-37;1.76E-37;-1.76E-37;-1.16E-10;-1.16E-10;3.20E-03;3.20E-03;3.51E-01;3.51E-01;3.51E-01;3.51E-01;8.19E-01;8.19E-01;8.19E-01;8.19E-01;5.15E-02;5.15E-02;5.15E-02;5.15E-02;1.36E-03;1.36E-03;1.36E-03;1.36E-03;-4.10E-01;-4.10E-01;4.10E-01;4.10E-01;4.10E-37;4.10E-37;3.20E-03;3.20E-03
3.30E-02;1.80E-37;-1.80E-37;1.80E-37;-1.80E-37;2.91E-11;0;3.30E-03;3.30E-03;3.60E-01;3.60E-01;3.60E-01;3.60E-01;8.39E-01;8.39E-01;8.39E-01;8.39E-01;5.47E-02;5.47E-02;5.47E-02;5.47E-02;1.45E-03;1.45E-03;1.45E-03;1.45E-03;-4.20E-01;-4.20E-01;4.20E-01;4.20E-01;4.20E-37;4.20E-37;3.30E-03;3.30E-03
3.40E-02;1.84E-37;-1.84E-37;1.84E-37;-1.84E-37;5.82E-11;1.16E-10;3.40E-03;3.40E-03;3.68E-01;3.68E-01;3.68E-01;3.68E-01;8.59E-01;8.59E-01;8.59E-01;8.59E-01;5.80E-02;5.80E-02;5.80E-02;5.80E-02;1.54E-03;1.54E-03;1.54E-03;1.54E-03;-4.29E-01;-4.29E-01;4.29E-01;4.29E-01;4.29E-37;4.29E-37;3.40E-03;3.40E-03
3.50E-02;1.88E-37;-1.88E-37;1.88E-37;-1.88E-37;0;0;3.50E-03;3.50E-03;3.76E-01;3.76E-01;3.76E-01;3.76E-01;8.78E-01;8.78E-01;8.78E-01;8.78E-01;6.13E-02;6.13E-02;6.13E-02;6.13E-02;1.63E-03;1.63E-03;1.63E-03;1.63E-03;-4.39E-01;-4.39E-01;4.39E-01;4.39E-01;4.39E-37;4.39E-37;3.50E-03;3.50E-03
3.60E-02;1.92E-37;-1.92E-37;1.92E-37;-1.92E-37;1.46E-10;1.16E-10;3.60E-03;3.60E-03;3.84E-01;3.84E-01;3.84E-01;3.84E-01;8.97E-01;8.97E-01;8.97E-01;8.97E-01;6.48E-02;6.48E-02;6.48E-02;6.48E-02;1.73E-03;1.73E-03;1.73E-03;1.73E-03;-4.48E-01;-4.48E-01;4.48E-01;4.48E-01;4.48E-37;4.48E-37;3.60E-03;3.60E-03
3.70E-02;1.96E-37;-1.96E-37;1.96E-37;-1.96E-37;5.82E-11;1.16E-10;3.70E-03;3.70E-03;3.92E-01;3.92E-01;3.92E-01;3.92E-01;9.15E-01;9.15E-01;9.15E-01;9.15E-01;6.83E-02;6.83E-02;6.83E-02;6.83E-02;1.83E-03;1.83E-03;1.83E-03;1.83E-03;-4.57E-01;-4.57E-01;4.57E-01;4.57E-01;4.57E-37;4.57E-37;3.70E-03;3.70E-03
3.80E-02;2.00E-37;-2.00E-37;2.00E-37;-2.00E-37;0;0;3.80E-03;3.80E-03;4.00E-01;4.00E-01;4.00E-01;4.00E-01;9.33E-01;9.33E-01;9.33E-01;9.33E-01;7.18E-02;7.18E-02;7.18E-02;7.18E-02;1.94E-03;1.94E-03;1.94E-03;1.94E-03;-4.66E-01;-4.66E-01;4.66E-01;4.66E-01;4.66E-37;4.66E-37;3.80E-03;3.80E-03
3.90E-02;2.04E-37;-2.04E-37;2.04E-37;-2.04E-37;1.46E-10;1.16E-10;3.90E-03;3.90E-03;4.07E-01;4.07E-01;4.07E-01;4.07E-01;9.50E-01;9.50E-01;9.50E-01;9.50E-01;7.55E-02;7.55E-02;7.55E-02;7.55E-02;2.04E-03;2.04E-03;2.04E-03;2.04E-03;-4.75E-01;-4.75E-01;4.75E-01;4.75E-01;4.75E-37;4.75E-37;3.90E-03;3.90E-03
4.00E-02;2.07E-37;-2.07E-37;2.07E-37;-2.07E-37;-2.91E-11;0;4.00E-03;4.00E-03;4.14E-01;4.14E-01;4.14E-01;4.14E-01;9.67E-01;9.67E-01;9.67E-01;9.67E-01;7.92E-02;7.92E-02;7.92E-02;7.92E-02;2.15E-03;2.15E-03;2.15E-03;2.15E-03;-4.83E-01;-4.83E-01;4.83E-01;4.83E-01;4.83E-37;4.83E-37;4.00E-03;4.00E-03
